"day","slug","focus","title","artworkKey","challenge","prompt","quote","author","source","sourceUrl","categories","supplementalType","supplementalTitle","supplementalDescription","supplementalUrl","supplementalImageUrl","supplementalDurationLabel"
"11","small-routine-upgrade","routine","Small Routine Upgrade","day-11","Choose one routine that supports steadiness: a breath, a note, a pause, a prayer, or a check-in.","What routine gave your day more structure without making it rigid?","Mindfulness allows you to live deeply every moment that is given you to live.","Thich Nhat Hanh","Plum Village: Key Teachings","https://plumvillage.org/about/thich-nhat-hanh/key-teachings/","peace|wisdom","","","","","",""
"12","stand-in-your-space","steadiness","Stand in Your Space","day-12","Take one action from calm authority instead of pressure, performance, or panic.","How did you recognize the difference between pressure and real strength?","For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.","Paul","2 Timothy 1:7 (KJV)","https://www.kingjamesbibleonline.org/2-Timothy-1-7/","scripture|wisdom|identity","","","","","",""
"13","listen-for-guidance","intuition","Listen for Guidance","day-13","Spend three quiet minutes asking for guidance, then write the first simple impression without arguing with it.","What did you hear before your mind tried to edit it?","Go to your bosom: Knock there, and ask your heart what it doth know.","William Shakespeare","Measure for Measure, Act II, Scene II","https://en.wikisource.org/wiki/Measure_for_Measure/Act_II/Scene_II","wisdom|identity","","","","","",""
"14","test-the-next-step","discernment","Test the Next Step","day-14","Hold one possible next step in mind and notice whether your body feels contracted, neutral, or open.","What did your body seem to know before you had a full explanation?","He who knows other men is discerning; he who knows himself is intelligent.","Laozi","Tao Te Ching 33 (Legge)","https://www.infoplease.com/primary-sources/philosophy-religion/tao-te-ching/chapter-33","scripture|identity|wisdom","","","","","",""
"15","trust-your-inner-knowing","trust","Trust Your Inner Knowing","day-15","Act on one small intuitive nudge that is kind, grounded, and aligned.","What makes an intuitive nudge feel trustworthy to you?","The power of intuitive understanding will protect you from harm until the end of your days.","Lao Tzu","Wikiquote: Lao Tzu","https://en.wikiquote.org/wiki/Lao_Tzu","courage|peace","","","","","",""
"16","make-room-for-receiving","receiving","Make Room for Receiving","day-16","Create one quiet opening today where guidance, clarity, or support can reach you.","What changes when receiving becomes an active practice instead of a passive hope?","Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:","Matthew","Matthew 7:7 (KJV)","https://www.kingjamesbibleonline.org/Matthew-7-7/","scripture|purpose|wisdom","","","","","",""
"17","notice-the-block","abundance-blocks","Notice the Block","day-17","Identify one thought or habit that makes abundance feel unsafe, unavailable, or undeserved.","What might that block be trying to protect you from?","The real enemies of our life are the oughts and the ifs.","Henri Nouwen","Here and Now","https://en.wikiquote.org/wiki/Henri_Nouwen","healing|identity","","","","","",""
"18","ask-for-support","support","Ask for Support","day-18","Ask for one form of support today: practical, emotional, spiritual, or relational.","What belief about support surfaced when you asked?","Rarely, if ever, are any of us healed in isolation. Healing is an act of communion.","bell hooks","All About Love","https://www.goodreads.com/quotes/159436-rarely-if-ever-are-any-of-us-healed-in-isolation","healing|peace","","","","","",""
"19","receive-the-good","abundance","Receive the Good","day-19","When something good arrives today, pause before minimizing it and let it register.","What does receiving goodness bring up in you?","All shall be well, and all shall be well, and all manner of thing shall be well.","Julian of Norwich","Revelations of Divine Love","https://en.wikisource.org/wiki/Revelations_of_Divine_Love","hope|peace","","","","","",""
"20","practice-generous-trust","trust","Practice Generous Trust","day-20","Choose one generous thought about your future, your resources, or your ability to be supported.","Where did scarcity loosen when you practiced trust?","When one door closes, another opens; but we often look so long upon the closed door that we do not see the one which has opened.","Alexander Graham Bell","Quotes.net: Alexander Graham Bell","https://www.quotes.net/quote/39612","hope|wisdom","","","","","",""
"21","track-your-energy","priorities","Track Your Energy","day-21","Notice three things today: what energizes you, what depletes you, and what brings you back to center.","What did your energy reveal about your priorities?","By the way we live our daily life we contribute to peace or to war.","Thich Nhat Hanh","Plum Village: Key Teachings","https://plumvillage.org/about/thich-nhat-hanh/key-teachings/","purpose|peace","","","","","",""
"22","align-with-what-matters","alignment","Align with What Matters","day-22","Choose one action that reflects your actual priority, not the loudest demand.","What matters most right now, and what action proves it?","Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction.","Bhagavad Gita","Bhagavad Gita 2:47","https://bhagavadgita.com/chapter/2/verse/47","scripture|purpose|wisdom","","","","","",""
"23","choose-the-high-return-step","prioritizing","Choose the High-Return Step","day-23","Pick the one next step that gives the best return for your life, energy, or purpose today.","What did you choose after separating urgency from importance?","If it is not right, do not do it: if it is not true, do not say it.","Marcus Aurelius","Meditations, Book XII (Long)","https://en.wikisource.org/wiki/The_Thoughts_of_the_Emperor_Marcus_Aurelius_Antoninus/Book_XII","wisdom|purpose","","","","","",""
"24","make-space-for-the-plan","structure","Make Space for the Plan","day-24","Remove, delay, or delegate one low-alignment task so there is room for what matters.","What did you learn from making space instead of adding more?","My method is different. I do not rush into actual work.","Nikola Tesla","Wikiquote: Nikola Tesla","https://en.wikiquote.org/wiki/Nikola_Tesla","wisdom|purpose","","","","","",""
"25","name-your-gifts","gifts","Name Your Gifts","day-25","List three gifts, abilities, or forms of wisdom that feel natural enough you sometimes overlook them.","Which gift is ready to be taken more seriously?","As every man hath received the gift, [even so] minister the same one to another, as good stewards of the manifold grace of God.","Peter","1 Peter 4:10 (KJV)","https://www.kingjamesbibleonline.org/1-Peter-4-10/","scripture|identity|wisdom","","","","","",""
"26","claim-your-resources","resources","Claim Your Resources","day-26","Identify one resource you already have: a relationship, skill, experience, insight, tool, or opportunity.","What resource becomes more powerful when you stop dismissing it?","When you do the common things in life in an uncommon way, you will command the attention of the world.","George Washington Carver","Quote.org: George Washington Carver","https://quote.org/quote/when-you-do-the-common-things-in-463164","purpose|encouragement","","","","","",""
"27","honor-your-importance","importance","Honor Your Importance","day-27","Act today as if your presence, gifts, and choices genuinely matter.","What changes when you stop treating your contribution as optional?","Act as if what you do makes a difference. It does.","William James","Wikiquote: William James","https://en.wikiquote.org/wiki/William_James","encouragement|purpose","","","","","",""
"28","use-what-you-have","stewardship","Use What You Have","day-28","Use one existing gift or resource today instead of waiting for a perfect condition.","What grew stronger because you used it?","For unto every one that hath shall be given, and he shall have abundance: but from him that hath not shall be taken away even that which he hath.","Matthew","Matthew 25:29 (KJV)","https://www.kingjamesbibleonline.org/Matthew-25-29/","scripture|purpose|wisdom","","","","","",""
"29","explore-your-essence","soul","Explore Your Essence","day-29","Write five words that describe who you are beneath roles, pressure, and performance.","Which word felt most alive or surprising?","There is no greater agony than bearing an untold story inside you.","Maya Angelou","I Know Why the Caged Bird Sings","https://en.wikiquote.org/wiki/Maya_Angelou","identity|healing","","","","","",""
"30","invite-both-minds","whole-self","Invite Both Minds","day-30","Let your practical mind and spiritual knowing both respond to one decision before you choose.","What did logic notice, and what did inner wisdom notice?","This above all: to thine own self be true.","William Shakespeare","Hamlet, Act I, Scene III","https://en.wikisource.org/wiki/Hamlet/Act_I/Scene_III","identity|wisdom","","","","","",""
"31","follow-the-aliveness","aliveness","Follow the Aliveness","day-31","Notice what feels alive, meaningful, or quietly magnetic, then take one respectful step toward it.","What does aliveness teach you about your path?","Don't ask what the world needs. Ask what makes you come alive, and go do it.","Howard Thurman","The Living Wisdom of Howard Thurman","https://www.goodreads.com/quotes/1199050-don-t-ask-yourself-what-the-world-needs-ask-yourself-what","purpose|identity","","","","","",""
"32","bless-your-uniqueness","uniqueness","Bless Your Uniqueness","day-32","Celebrate one trait, sensitivity, story, or way of seeing that makes your path your own.","What if this difference is not a detour but part of the design?","I will praise thee; for I am fearfully [and] wonderfully made: marvellous [are] thy works; and [that] my soul knoweth right well.","David","Psalm 139:14 (KJV)","https://www.kingjamesbibleonline.org/Psalms-139-14/","scripture|courage|peace","","","","","",""
"33","connect-essence-and-service","service","Connect Essence and Service","day-33","Name one way your natural gifts could meet a real need in another person's life.","Where do enjoyment, ability, and usefulness overlap for you?","Do your little bit of good where you are; it's those little bits of good put together that overwhelm the world.","Desmond Tutu","Wikiquote: Desmond Tutu","https://en.wikiquote.org/wiki/Desmond_Tutu","purpose|encouragement","","","","","",""
"34","let-value-flow","money","Let Value Flow","day-34","Reflect on one way money can represent value exchanged, needs met, and gifts put into motion.","What changes when money is part of flow rather than proof of worth?","Try not to become a man of success, but rather try to become a man of value.","Albert Einstein","Wikiquote: Albert Einstein","https://en.wikiquote.org/wiki/Albert_Einstein","encouragement|hope","","","","","",""
"35","serve-from-strength","strength","Serve from Strength","day-35","Offer something today from overflow, clarity, or real willingness instead of proving yourself.","How does service feel different when it comes from strength rather than obligation?","And God [is] able to make all grace abound toward you; that ye, always having all sufficiency in all [things], may abound to every good work:","Paul","2 Corinthians 9:8 (KJV)","https://www.kingjamesbibleonline.org/2-Corinthians-9-8/","scripture|courage|peace","","","","","",""
"36","receive-for-a-purpose","receiving","Receive for a Purpose","day-36","Write one sentence about what more support, money, time, or energy would allow you to create or contribute.","What purpose makes receiving feel cleaner and more grounded?","Love begins at home, and it is not how much we do, but how much love we put in the action that we do.","Mother Teresa","Nobel Peace Prize acceptance speech (1979)","https://www.nobelprize.org/prizes/peace/1979/teresa/acceptance-speech/","purpose|encouragement","","","","","",""
"37","review-your-tools","integration","Review Your Tools","day-37","List the three tools from this journey that helped you most: release, questions, intuition, boundaries, priorities, support, or service.","Which tool deserves a permanent place in your rhythm?","Rise, awake! having obtained your boons, understand them!","Katha Upanishad","Katha Upanishad 1.3.14 (Max Muller)","https://en.wikisource.org/wiki/Sacred_Books_of_the_East/Volume_15/Katha-upanishad","scripture|perseverance|wisdom","","","","","",""
"38","check-in-for-momentum","momentum","Check In for Momentum","day-38","Choose one recurring check-in that will keep your growth alive after day forty.","How often do you need to pause, listen, clear, and realign?","For indeed, with hardship [will be] ease.","Qur'an","Qur'an 94:5 (Sahih International)","https://corpus.quran.com/translation.jsp?chapter=94&verse=5","scripture|hope|perseverance","","","","","",""
"39","honor-how-far-you-have-come","recognition","Honor How Far You Have Come","day-39","Name three ways you are not relating to yourself, abundance, or purpose the way you did before.","What change deserves to be witnessed before you rush into the next thing?","I walk slowly, but I never walk backward.","Abraham Lincoln","Wikiquote: Abraham Lincoln","https://en.wikiquote.org/wiki/Abraham_Lincoln","courage|encouragement","","","","","",""
"40","choose-what-comes-next","next-steps","Choose What Comes Next","day-40","Write one grounded next step and one blessing over the person you are continuing to become.","What do you now know about abundance, alignment, and your own free will?","Go confidently in the direction of your dreams. Live the life you have imagined.","Henry David Thoreau","Walden, Conclusion","https://en.wikisource.org/wiki/Walden/Conclusion","hope|purpose","","","","","",""
