id,challenge,categories,approved,active
perseverance-reset-after-miss,"After one missed step, restart without making a speech against yourself.",perseverance|healing,true,true
perseverance-one-less-barrier,"Remove one barrier that makes a good habit harder to begin.",perseverance|purpose,true,true
perseverance-track-effort,"Mark one effort you made today, even if the outcome is unfinished.",perseverance|hope,true,true
perseverance-finish-tiny-loop,"Close one tiny loop: reply, file, wash, schedule, or write one line.",perseverance|peace,true,true
perseverance-practice-again,"Do one helpful practice again because repetition is allowed to be boring.",perseverance|identity,true,true
perseverance-small-promise,"Make one promise so small you can keep it before the day ends.",perseverance|encouragement,true,true
perseverance-stop-at-timer,"Work for two minutes, stop at the timer, and notice that stopping can be trusted.",perseverance|wisdom,true,true
purpose-align-one-task,"Choose one task today because it serves your real priority, not because it is loud.",purpose|perseverance,true,true
purpose-why-this-matters,"Write why one ordinary task matters to the life you are building.",purpose|wisdom,true,true
purpose-serve-one-person,"Do one small action that makes another person's day easier without abandoning yourself.",purpose|peace,true,true
purpose-name-contribution,"Name one contribution you can make with the energy you actually have.",purpose|identity,true,true
purpose-delete-low-value,"Remove, delay, or shrink one low-value task.",purpose|courage,true,true
purpose-one-resource,"Identify one resource you already have and use it for two minutes.",purpose|hope,true,true
purpose-priority-pause,"Ask which choice serves your real priority, then take one matching step.",purpose|wisdom,true,true
purpose-gift-in-motion,"Put one gift, skill, or insight into motion in a small practical way.",purpose|encouragement,true,true
purpose-next-right-thing,"Choose the next right thing that is kind, grounded, and doable.",purpose|healing,true,true
purpose-calendar-protect,"Protect two minutes on your calendar or in your mind for what matters.",purpose|perseverance,true,true
wisdom-pressure-pause,"Pause once before answering a pressure-filled request.",wisdom|peace,true,true
wisdom-question-the-story,"Ask one hard thought what story it is trying to protect.",wisdom|healing,true,true
wisdom-facts-vs-fears,"Write one fact and one fear, then treat them as different things.",wisdom|courage,true,true
wisdom-check-assumption,"Name one assumption you are making and one kinder alternative.",wisdom|hope,true,true
wisdom-useful-question,"Replace why is this happening with what is one useful next step.",wisdom|purpose,true,true
wisdom-body-data,"Notice one body signal as information, not an order.",wisdom|identity,true,true
wisdom-slow-decision,"Give one decision two minutes of quiet before choosing.",wisdom|peace,true,true
wisdom-small-experiment,"Try one small experiment instead of demanding a permanent answer.",wisdom|perseverance,true,true
wisdom-learn-from-energy,"Notice what gave energy and what drained it today.",wisdom|purpose,true,true
wisdom-enough-for-now,"Write what you know, what you do not know, and what is enough for now.",wisdom|encouragement,true,true
